restaurantId,name,city,cuisine,rating,price,isOpen,latitude,longitude
R1,Saravana Bhavan,Chennai,South Indian,4.4,$$,true,13.0827,80.2707
R2,Annalakshmi,Chennai,Tamil Brahmin,4.5,$$,true,13.0827,80.2707
R3,Buhari Hotel,Chennai,South Indian,4.3,$$,true,13.0827,80.2707

R4,Sree Annapoorna,Coimbatore,South Indian,4.6,$$,true,11.0168,76.9558
R5,Haribhavanam,Coimbatore,Chettinad,4.4,$$,true,11.0168,76.9558
R6,Banana Leaf,Coimbatore,Multi-cuisine,4.2,$$,true,11.0168,76.9558

R7,Amsavalli Bhavan,Madurai,South Indian,4.5,$,true,9.9252,78.1198
R8,Kumar Mess,Madurai,Chettinad,4.6,$$,true,9.9252,78.1198

R9,Hotel Kannappa,Trichy,South Indian,4.3,$,true,10.7905,78.7047
R10,Ezham Suvai,Trichy,Traditional Tamil,4.1,$,true,10.7905,78.7047

R11,Junior Kuppanna,Salem,South Indian,4.4,$$,true,11.6643,78.1460
R12,Sri Krishna Bhavan,Erode,South Indian,4.2,$,true,11.3410,77.7172

R13,Anandha Bhavan,Thoothukudi,Seafood,4.3,$$,true,8.7642,78.1348
R14,Nellai Saravana Bhavan,Tirunelveli,South Indian,4.5,$,true,8.7139,77.7567

R15,Sathars Restaurant,Thanjavur,South Indian,4.3,$,true,10.7870,79.1378
R16,Venu Biriyani,Dindigul,Dindigul Biryani,4.6,$$,true,10.3673,77.9803

R17,Amma Mess,Karur,South Indian,4.4,$$,true,10.9574,78.0800
R18,Hotel Aryaas,Vellore,South Indian,4.2,$,true,12.9165,79.1325

R19,Hotel GRT Regency,Kanchipuram,Multi-cuisine,4.3,$$,true,12.8342,79.7036
R20,Hotel Cape Corner,Nagercoil,South Indian,4.5,$$,true,8.1780,77.4327

R21,Shree Mithai,Coimbatore,North Indian,4.3,$$,true,11.0168,76.9558
R22,Ponram Fish Land,Coimbatore,Seafood,4.5,$$,true,11.0168,76.9558
R23,Gowri Shankar Hotel,Coimbatore,South Indian,4.4,$,true,11.0168,76.9558

R24,Hotel Selvam,Tiruppur,South Indian,4.2,$,true,11.1085,77.3411
R25,Arya Bhavan,Tiruppur,Multi-cuisine,4.3,$$,true,11.1085,77.3411

R26,Sangeetha Veg Restaurant,Pollachi,South Indian,4.4,$,true,10.6581,77.0081
R27,Hotel Tamil Nadu,Pollachi,Traditional Tamil,4.1,$,true,10.6581,77.0081

R28,Vasantha Bhavan,Udumalaipettai,South Indian,4.3,$,true,10.5851,77.2447
R29,Chettinadu Mansion,Karaikudi,Chettinad,4.6,$$,true,10.0661,78.7685

R30,Hotel Pandian,Palani,South Indian,4.2,$,true,10.4504,77.5200

R21,Shree Mithai,Coimbatore,North Indian,4.3,$$,true,11.0168,76.9558
R22,Ponram Fish Land,Coimbatore,Seafood,4.5,$$,true,11.0168,76.9558
R23,Gowri Shankar Hotel,Coimbatore,South Indian,4.4,$,true,11.0168,76.9558

R24,Hotel Selvam,Tiruppur,South Indian,4.2,$,true,11.1085,77.3411
R25,Arya Bhavan,Tiruppur,Multi-cuisine,4.3,$$,true,11.1085,77.3411

R26,Sangeetha Veg Restaurant,Pollachi,South Indian,4.4,$,true,10.6581,77.0081
R27,Hotel Tamil Nadu,Pollachi,Traditional Tamil,4.1,$,true,10.6581,77.0081

R28,Vasantha Bhavan,Udumalaipettai,South Indian,4.3,$,true,10.5851,77.2447
R29,Chettinadu Mansion,Karaikudi,Chettinad,4.6,$$,true,10.0661,78.7685

R30,Hotel Pandian,Palani,South Indian,4.2,$,true,10.4504,77.5200
R31,Hotel Sattur Ananda Bhavan,Sattur,South Indian,4.3,$,true,9.3500,77.9167
R32,Sri Murugan Mess,Sattur,Traditional Tamil,4.4,$,true,9.3500,77.9167
R33,Hotel Tamil Nadu,Sattur,Multi-cuisine,4.2,$,true,9.3500,77.9167

R34,Hotel Virudhunagar,Virudhunagar,South Indian,4.5,$$,true,9.5810,77.9624
R35,Arya Bhavan,Virudhunagar,South Indian,4.3,$,true,9.5810,77.9624
R36,Hotel Gowri Shankar,Virudhunagar,Chettinad,4.6,$$,true,9.5810,77.9624

R37,Sree Krishna Bhavan,Sivakasi,South Indian,4.4,$,true,9.4530,77.8081
R38,Hotel Pandian,Sivakasi,Multi-cuisine,4.2,$$,true,9.4530,77.8081

R39,Annapoorna Hotel,Rajapalayam,South Indian,4.3,$,true,9.4410,77.5540
R40,Hotel Selvam,Rajapalayam,Traditional Tamil,4.1,$,true,9.4410,77.5540
