userEmail,restaurantName,rating,reviewText
demo@smartdine.com,Saravana Bhavan,5,Excellent taste and very hygienic
demo@smartdine.com,Saravana Bhavan,4,Good food but crowded during peak hours
demo@smartdine.com,Saravana Bhavan,3,Decent food but service was slow

demo@smartdine.com,Annalakshmi,5,Authentic and peaceful dining experience
demo@smartdine.com,Annalakshmi,4,Healthy food but limited menu
demo@smartdine.com,Annalakshmi,2,Food was bland and overpriced

demo@smartdine.com,Buhari Hotel,4,Famous biryani with good flavor
demo@smartdine.com,Buhari Hotel,5,Rich taste and generous portions
demo@smartdine.com,Buhari Hotel,2,Too oily and heavy for digestion

demo@smartdine.com,Sree Annapoorna,5,Consistently great vegetarian food
demo@smartdine.com,Sree Annapoorna,4,Clean place and good service
demo@smartdine.com,Sree Annapoorna,3,Average taste compared to expectations

demo@smartdine.com,Haribhavanam,4,Spicy Chettinad dishes very tasty
demo@smartdine.com,Haribhavanam,5,Authentic flavors and great biryani
demo@smartdine.com,Haribhavanam,2,Too spicy and not suitable for elders

demo@smartdine.com,Amsavalli Bhavan,5,Best meals in Madurai
demo@smartdine.com,Amsavalli Bhavan,4,Traditional taste and good value
demo@smartdine.com,Amsavalli Bhavan,3,Okay food but crowded seating

demo@smartdine.com,Kumar Mess,5,Authentic Madurai biryani
demo@smartdine.com,Kumar Mess,4,Good taste but limited seating
demo@smartdine.com,Kumar Mess,2,Overhyped and service was poor

demo@smartdine.com,Hotel Kannappa,4,Affordable and filling meals
demo@smartdine.com,Hotel Kannappa,3,Decent food nothing special
demo@smartdine.com,Hotel Kannappa,2,Quality has gone down recently

demo@smartdine.com,Junior Kuppanna,4,Good non veg options
demo@smartdine.com,Junior Kuppanna,5,Excellent biryani and service
demo@smartdine.com,Junior Kuppanna,3,Bit expensive for the quantity

demo@smartdine.com,Venu Biriyani,5,Legendary Dindigul biryani
demo@smartdine.com,Venu Biriyani,4,Unique flavor and good quality
demo@smartdine.com,Venu Biriyani,2,Too crowded and inconsistent taste
